name,lat,lng
Da Nang,16.03,108.18
Trao,15.92805556,107.6413889
Nong Son,15.7025,108.0341667
Thanh My,15.76666667,107.8305556
Hoi Khach,15.82,107.9097222
Ai Nghia,15.88138889,108.1102778
Giao Thuy,15.84166667,108.1344444
Hoi An,15.87666667,108.3352778
Cau Lau,15.85805556,108.2733333
Cam Le,16.01083333,108.2058333
Vinh Dien,15.89166667,108.25
Kham Duc,15.445,107.7936111
Que Son,15.7,108.1
Tien Phuoc,15.48833333,108.3077778
Thang Binh,15.73833333,108.3505556
Tien Sa,16.1,108.2166667
Son Phuoc,16.01666667,108.05
Ba Na,16.01666667,108
